Project Title,Release Date,Primary Vibe/Genre,Key Track Highlights,EP/LP Status,AI Integration Ready
Fault Line Bloom,11/7/2025,Post-Metal / Experimental,"Low Sun Debris, Five Seconds to Gravity",LP,TRUE
Epitaphs From the Neon Dust,10/10/2025,Dark Country-Trap,"Spurs in the Ashes, Horseflies Over Heaven",LP,TRUE
Boots On Heart Open,10/1/2025,Country-Metal,"Die With My Boots On, Grit and Grief",EP,TRUE
Choir of Broken Mouths,11/9/2025,Metal/Trap Fusion,"Spine Harvest, Moshpit Funeral, DROWNING(Acoustic Version)",LP,TRUE
Whispers Beneath the Ash,8/22/2025,Metalcore / Trapmetal,"Static Rage, Bury the Ghost, I Didn't Die There",LP,TRUE
The Cassette Tapes,11/8/2025,Lo-Fi / Trapmetal,"Sidewalk Gospel, Press Play, Walkman Wounds",LP,TRUE
The Echo Integration,2/28/2026,Industrial Metalcore,"Brute Force Override, Ghost in the Code",LP,TRUE
Structural Failure,1/16/2026,Industrial Trapmetal,"Ghost in the Driveway, Metal Fatigue, Sacrificial Zinc",EP,TRUE
The Recovery Sessions,1/16/2026,Spoken Word / Ambient,"Recovery Sessions (001-005), The Ending",EP,TRUE
Black Box Psalms,1/2/2026,Industrial Dark Trap,"Foreign Body, God's Teeth in the Gutter",EP,TRUE
The Violence of Spring,1/1/2026,Aggressive Experimental,"Cobalt Infrastructure, Chemistry of Collapse",LP,TRUE
The Phantom Weight,11/24/2025,Memphis Trap / Southern,"Rise Up, No Chains, Horizon Line, Corner Stone",EP,TRUE
The Rare Friction (EP),3/7/2026,Aggressive Experimental,"The Rare Friction, The Weight of the Guest",EP,TRUE
,,,,,
Track Title,Trigger Category,Release Date,Primary Vibe/Genre,AI Integration Ready,
Forty Years in the Fire,Aggression/Resilience,11/12/2025,Industrial Metal,TRUE,
Bullet in the Halo,Aggression/Resilience,12/10/2025,Heavy Trapmetal,TRUE,
Plastic Halo,Aggression/Resilience,2/4/2026,Post-Grunge,TRUE,
Fallen Pines,Melancholy/Atmosphere,11/7/2025,Ambient Shoegaze,TRUE,
Glass Eyes,Melancholy/Atmosphere,11/7/2025,Dark Acoustic,TRUE,
The Scar That Sings,Melancholy/Atmosphere,11/7/2025,Post-Rock,TRUE,
Fractured Circuits,Industrial/Technical,11/7/2025,Glitch/IDM,TRUE,
Black Eyes,Industrial/Technical,2/3/2026,Cold Wave,TRUE,
Whiskey Glasses (AIBRY Reconstruction),Genre-Bending,2/13/2026,Electro-Country Trap,TRUE,
The Ink Ran Dry,Melancholy/Atmosphere,2/2/2026,CountryTrapMetal,TRUE,
Burn the Echo,Aggression/Resilience,11/10/2025,Industrial Metal,TRUE,
The Ghost in the Glass,Melancholy/Atmosphere,11/17/2025,CountryTrapMetal,TRUE,
Dead Air Between Breaths,Industrial/Technical,11/7/2025,Industrial Metal,TRUE,
